Code.Class,Name,Accession,COH.24,COH.25,COH.30,COH.27,COH.32,COH.28,COH.23,COH.31,COH.4,COH.7,COH.8,COH.16,COH.6,COH.1,COH.15,COH.17,COH.14,COH.11,COH.21,COH.10,COH.20,COH.13,COH.2,COH.22,COH.5,COH.3,COH.19
Endogenous,MGP,NM_000900.2,5752,9877,44418,53405,6118,34747,15453,21569,15822,46140,7615,9168,923,31765,356,3138,5973,66741,2359,3961,11109,902,794,10938,5363,20964,2635
Endogenous,MMP3,NM_002422.3,8,151,595,509,184,53,15,99,16,330,102,175,29,261,1155,67,40,54,38,397,54,2005,210,17,65,1,103
Endogenous,MMP9,NM_004994.2,4358,1119,180,528,494,322,332,6235,1182,7376,3766,1660,166,1829,14395,400,131,124,1905,471,43111,2161,685,1863,247,2490,1566
Endogenous,MT1F,NM_005949.3,160,205,467,389,292,295,333,119,182,130,54,290,313,393,316,125,75,57,316,238,20,78,80,117,157,387,798
Endogenous,MT1X,NM_005952.3,213,574,1289,727,3728,1215,833,761,1697,1226,317,1850,1054,957,1051,601,582,230,1750,1050,352,1311,1420,2859,409,482,1812
Endogenous,MT2A,NM_005953.3,372,676,3249,514,4572,2888,912,1128,1207,1931,661,1379,7110,1422,4370,2833,967,540,1789,1994,314,2639,447,5575,1352,1480,3828
Endogenous,MX2,NM_002463.1,669,756,503,760,359,838,172,390,60,326,232,178,431,433,613,540,118,155,428,285,147,233,194,122,191,1176,1930
Endogenous,MXD1,NM_002357.2,353,262,744,619,631,1069,8548,300,741,782,442,574,878,381,1481,352,218,250,455,430,281,247,1215,405,179,1052,679
Endogenous,MXRA5,NM_015419.3,296,928,1694,1381,3766,208,1043,1923,1017,2043,1841,2197,2242,1270,2974,3821,843,403,714,6680,3109,2038,1801,2862,1748,460,1254
Endogenous,MYBL2,NM_002466.2,816,141,1805,3216,262,2971,1068,380,3301,526,68,801,716,279,671,207,179,2446,455,174,383,257,1254,758,120,951,4509
Endogenous,MYLK,NM_053032.2,1053,1198,1842,2324,2541,1911,736,2146,1244,1220,1597,3211,6883,4295,1746,1134,947,669,583,7385,3526,952,780,9373,2886,4656,898
Endogenous,NACAD,NM_001146334.1,37,109,159,194,149,265,35,48,23,94,37,60,78,78,94,69,31,16,9,54,61,88,89,86,56,249,107
Endogenous,NAP1L3,NM_004538.4,59,81,128,101,139,163,28,42,136,82,38,46,13,36,40,46,21,13,18,96,178,35,54,17,50,51,20
Endogenous,NEFM,NM_005382.2,11,78,109,152,47,197,18,18,5,35,13,10,805,10,13,2936,15,5,10,100,30,14,16,222,352,11,9
Endogenous,NFKB2,NM_001077493.1,2021,588,667,435,805,821,2700,477,209,509,465,480,841,899,637,632,274,1235,502,585,318,471,492,482,411,549,836
Endogenous,NID2,NM_007361.3,280,362,984,576,1732,406,266,844,587,881,648,670,436,400,959,789,221,195,382,1929,5280,903,424,459,275,547,507
Endogenous,NKD2,NM_033120.2,109,880,335,195,261,75,31,163,1966,273,83,99,32,75,376,87,57,107,69,322,241,586,658,26,183,69,134
