Code.Class,Name,Accession,COH.24,COH.25,COH.30,COH.27,COH.32,COH.28,COH.23,COH.31,COH.4,COH.7,COH.8,COH.16,COH.6,COH.1,COH.15,COH.17,COH.14,COH.11,COH.21,COH.10,COH.20,COH.13,COH.2,COH.22,COH.5,COH.3,COH.19
Endogenous,ABCB1,NM_000927.3,190,273,383,2786,232,478,36,75,132,71,78,43,285,25,30,213,19,39,98,45,75,14,32,30,62,81,59
Endogenous,ACTA2,NM_001613.1,2285,2592,10753,2305,6204,3137,2453,7904,4607,4247,3480,11301,10246,4530,6132,7626,2841,905,1654,4899,1045,2759,2413,5247,2587,8545,4423
Endogenous,ACTBL2,NM_001017992.2,22,122,239,226,121,213,19,24,8,44,36,15,5,24,11,11,9,4,8,27,13,16,8,13,19,18,13
Endogenous,AEBP1,NM_001129.3,2733,6901,6723,4152,12686,1293,5942,11314,8489,12650,7336,5738,3875,8286,13410,6902,6272,1549,1768,20807,3268,9884,6668,2349,3414,1369,6203
Endogenous,AGPAT9,NM_032717.3,38,111,109,156,42,215,78,36,18,22,14,14,16,29,15,16,9,15,25,21,18,10,27,22,14,10,18
Endogenous,AKAP12,NM_005100.3,346,274,754,250,1004,696,85,226,218,231,250,338,93,137,248,366,118,51,95,254,298,142,189,118,202,297,132
Endogenous,AKT1,NM_001014432.1,1105,1171,2331,1981,1101,4021,5372,2009,2068,2285,697,1957,1350,815,1424,767,1433,1372,684,1584,1060,740,1916,1351,557,1105,1279
Endogenous,ALDH1A1,NM_000689.3,137,170,438,280,676,282,39,151,39,98,421,85,204,75,29,229,129,34,181,141,116,58,328,40,186,476,276
Endogenous,ALDH1A2,NM_003888.2,15,73,103,67,66,102,9,86,87,64,21,19,17,11,24,39,10,24,38,25,314,43,36,22,32,52,34
Endogenous,ALDH1A3,NM_000693.3,174,600,3153,1791,2497,3222,166,560,160,687,891,376,150,694,100,275,150,165,206,766,390,177,228,109,199,2043,793
Endogenous,ALDH3A2,NM_001031806.1,438,209,1058,517,2435,2169,460,476,824,470,180,807,552,206,214,266,299,271,120,342,394,227,1728,839,165,1826,794
Endogenous,ALDH3B2,NM_000695.3,1588,207,226,360,1448,556,529,281,426,95,653,552,5,181,22,25,2545,480,39,413,11,38,1989,3,64,339,295
Endogenous,ALOXE3,NM_001165960.1,13,63,48,198,430,82,33,14,10,13,9,10,9,9,10,14,7,10,6,12,36,27,47,8,8,15,12
Endogenous,ANKH,NM_054027.4,193,2079,585,718,467,447,451,421,1226,882,216,274,472,1021,132,259,122,200,78,368,807,323,351,1787,135,1151,233
Endogenous,ANPEP,NM_001150.1,215,900,1382,513,1349,565,247,433,864,317,205,330,489,546,873,287,66,181,280,495,166,503,133,390,193,228,1605
Endogenous,APAF1,NM_181869.1,550,363,726,393,516,630,349,187,666,343,164,326,437,197,287,334,87,321,133,314,458,241,240,542,253,1536,1272
Endogenous,APBB1,NM_001164.2,374,245,712,296,321,1023,81,152,376,220,137,222,138,119,225,102,70,86,132,203,163,108,80,243,133,520,665
Endogenous,AQP5,NM_001651.3,95,118,110,73,209,122,189,25,3,425,4,109,6,58,18,6,4,7,7,9,7,6,6,5,11,411,8
Endogenous,ARC,NM_015193.3,8,57,97,102,31,149,25,19,75,146,9,44,9,32,32,9,7,18,3,14,39,23,31,16,7,51,34
Endogenous,ARHGAP33,NM_052948.2,123,72,399,168,138,461,734,94,270,131,55,179,121,84,96,55,44,89,31,92,70,41,113,101,54,226,145
Endogenous,ATF3,NM_001674.2,64,198,429,889,327,550,344,204,357,390,761,296,347,182,329,340,260,233,141,465,194,91,569,238,127,605,529
Endogenous,ATP2B4,NM_001684.3,759,410,1201,1268,1373,1861,820,582,555,729,400,575,723,565,490,462,333,324,589,788,406,545,696,653,355,1107,402
Endogenous,AXL,NM_021913.2,521,497,1866,751,1398,1151,1106,703,981,991,589,469,2355,673,559,1582,499,330,710,1794,896,625,558,2511,725,797,571
Endogenous,BAD,NM_004322.3,285,227,437,411,312,419,557,270,561,293,176,202,293,146,176,156,156,246,236,260,153,147,200,245,109,207,320
Endogenous,BAG3,NM_004281.3,348,309,1029,641,1363,991,696,486,373,899,267,924,1050,578,520,663,247,264,171,606,647,450,1603,882,267,1251,527
Endogenous,BCL2L11,NM_138621.4,199,133,335,290,167,511,669,82,392,188,135,227,195,127,143,130,89,312,98,178,115,137,202,135,95,215,487
Endogenous,BEX1,NM_018476.3,81,133,750,233,233,1119,342,75,151,118,36,101,8,55,68,35,29,214,16,80,108,33,100,43,31,4945,26
Endogenous,BGN,NM_001711.3,2751,3273,6662,2028,3640,2243,2352,6792,6143,16359,3032,3772,3291,3142,7512,5039,1926,949,3267,10552,10338,8680,2904,4204,2750,1654,2460
Endogenous,BHLHA15,NM_177455.3,96,118,172,144,36,146,94,60,14,45,68,22,7,58,18,12,18,37,64,52,18,27,28,8,56,22,93
Endogenous,BIRC3,NM_182962.2,3411,388,452,344,720,161,543,285,53,506,897,220,351,1533,136,365,222,1510,952,337,80,233,198,92,274,491,644
Endogenous,BMP6,NM_001718.2,113,167,338,250,117,2795,12,44,75,152,63,198,17,42,90,39,12,32,104,75,19,28,58,18,42,42,73
Endogenous,BOLA3,NM_001035505.1,102,98,329,222,201,357,271,186,112,118,120,185,167,185,142,140,89,180,170,97,119,100,100,180,50,617,218
Endogenous,BRCA1,NM_007305.2,160,165,696,600,181,1550,1393,73,598,194,39,271,275,18,157,124,69,26,69,77,142,92,233,227,75,950,714
Endogenous,BRCA2,NM_000059.3,157,43,329,319,137,392,301,121,460,238,28,245,178,138,81,106,59,198,121,94,83,54,199,249,70,590,1245
Endogenous,BST2,NM_004335.2,3798,1391,2777,2642,1411,4403,2300,1350,345,1618,3110,2354,7923,7031,1180,6711,2439,3331,6928,2862,1066,2541,2904,6707,3100,1144,11117
Endogenous,C12orf39,NR_135187.1,34,101,134,158,72,170,160,20,85,143,23,20,6,21,21,10,269,10,17,17,44,11,14,8,15,32,59
Endogenous,C1R,NM_001733.4,1604,1920,7317,1908,19420,1547,3024,2647,1210,3241,3803,3298,8417,8715,3052,6747,1246,2334,2189,5518,4360,5653,4185,3396,4790,2678,5644
Endogenous,C1S,NM_001734.2,2135,1297,3739,940,10318,532,2154,1681,561,2066,2622,1965,3430,6891,3081,3545,787,1359,2405,4023,2330,3422,3639,1719,2475,516,5053
Endogenous,C8orf84,NM_153225.3,59,208,2326,1305,183,303,46,111,2072,537,61,718,30,667,316,74,117,14,48,26,11,48,720,3059,66,211,817
Endogenous,CA6,NM_001215.3,6,15,11,54,125,83,8,15,2,87,4,53,3,786,8,6,6,6,2,12,11,8,7,2,2,215,6
Endogenous,CA9,NM_001216.2,43,112,388,198,80,263,47,42,39,55,5,273,208,83,376,17,20,91,31,15,112,285,65,837,19,28,197
Endogenous,CACYBP,NM_014412.2,502,436,1855,2773,754,6845,1965,580,3986,655,337,1495,711,826,829,513,486,1553,208,392,887,390,910,772,246,2120,1978
Endogenous,CALML5,NM_017422.4,1194,1014,487,2443,2728,6773,1127,186,370,85,8,2168,3,359,182,7,60,302,6,593,7,2,29,4,12,81,491
Endogenous,CAPN5,NM_004055.4,57,86,188,245,196,109,39,48,56,82,80,79,72,71,92,82,38,37,56,95,117,50,57,73,42,140,132
Endogenous,CCL2,NM_002982.3,579,225,866,601,1226,963,584,262,192,144,229,223,3429,941,1089,1947,114,350,470,700,888,248,423,262,1130,346,1453
Endogenous,CCL20,NM_004591.1,80,113,109,253,41,191,118,66,22,87,437,73,26,84,414,32,40,42,52,72,38,65,112,28,17,21,166
Endogenous,CCL26,NM_006072.4,31,115,271,234,118,804,21,39,15,19,14,22,24,20,79,18,7,8,76,29,40,55,56,27,28,20,22
Endogenous,CD24,NM_013230.2,70641,105521,20562,206624,15735,34948,205421,9712,26635,7289,4798,35835,1471,25972,7311,758,7206,13002,194,2458,296,163,3835,236,1097,7923,11222
Endogenous,CD248,NM_020404.2,208,200,475,383,1965,310,129,408,266,512,383,442,150,171,2125,571,132,67,504,599,2117,391,162,157,179,241,314
Endogenous,CD44,NM_001001392.1,5149,2219,85443,3535,9836,6574,5293,4507,1422,3659,1989,3275,10189,5961,6116,4793,2377,7555,6765,4547,2051,6714,6044,9953,2500,9476,5102
Endogenous,CDC20,NM_001255.2,271,224,2967,3607,344,4505,1522,586,1232,632,59,1898,1090,552,743,530,188,2187,349,149,385,343,512,1241,97,1449,2434
Endogenous,CDH1,NM_004360.2,1148,606,2173,5161,3597,5624,2619,1134,1492,682,1291,2002,55,1140,536,174,1484,2609,93,944,34,35,2822,486,253,3199,5097
Endogenous,CDH11,NM_001797.2,869,1235,2572,1108,2862,562,1086,1297,2620,3024,1446,2298,2118,1212,1661,2018,782,290,563,3672,5496,1632,3062,2386,1098,1860,1098
Endogenous,CDH2,NM_001792.3,96,33,162,183,118,333,3379,83,639,267,61,199,483,178,186,454,57,58,65,115,206,167,324,51,104,1624,1315
Endogenous,CDK19,NM_015076.3,686,439,857,450,469,1718,1258,340,1411,801,203,805,342,723,373,202,151,418,129,444,272,213,549,296,172,2344,891
Endogenous,CDRT1,NM_006382.3,15,75,123,216,70,142,16,24,9,18,14,10,8,8,29,18,70,104,5,18,9,14,102,15,8,20,22
Endogenous,CEACAM1,NM_001712.3,122,314,80,80,91,326,682,193,527,206,161,70,53,333,51,35,37,54,23,47,41,31,55,194,25,196,106
Endogenous,CELF2,NM_001025076.2,3655,1034,2293,672,1989,1250,792,630,527,774,832,573,751,517,338,664,283,436,1592,1068,511,530,438,461,859,461,677
Endogenous,CFH,NM_001014975.2,826,536,1562,963,5194,586,337,389,371,1216,459,656,4302,718,1165,1618,254,95,645,1104,3168,687,589,2886,761,937,585
Endogenous,CHAC1,NM_024111.3,15,97,125,123,47,126,37,29,24,35,9,31,5,7,19,15,16,5,6,8,11,3,24,9,8,43,20
Endogenous,CITED1,NM_004143.3,17,52,72,88,61,138,5,12,13,11,25,16,6,7,10,9,23,6,3,9,17,4,103,11,11,42,11
Endogenous,COL1A1,NM_000088.3,5578,19856,30194,15856,52952,7477,19233,40242,32204,46642,51275,33533,9159,20639,115028,71105,28181,5456,13654,141307,112758,75482,27314,13271,47674,7415,18623
Endogenous,COL1A2,NM_000089.3,5458,13566,35849,11163,42092,6394,12760,32212,17944,33396,34219,22316,22899,15052,68950,49565,14398,2916,14712,81782,101656,49166,19485,16569,43926,3685,15312
Endogenous,COL3A1,NM_000090.3,6717,11101,45292,12074,70597,5837,11948,28624,15514,32460,37451,32843,10913,18280,92799,73151,12712,3365,7585,79617,80659,53468,20339,19455,37993,8939,17619
Endogenous,COL5A1,NM_000093.3,1571,2012,9881,3924,15664,2893,5111,5054,11599,5814,4971,7266,11398,4774,14540,16987,2590,953,1086,17629,13168,16096,7795,19583,8345,2470,6100
Endogenous,COL5A2,NM_000393.3,734,1884,1672,1416,3523,764,1790,3610,665,2943,2910,3273,1911,2508,7080,6317,1783,408,823,9555,7631,5404,2279,4339,3284,1781,2002
Endogenous,COL6A2,NM_001849.2,2907,6281,11964,4933,25439,11360,4416,8956,15295,9851,6947,7762,22599,5587,43067,14215,3768,5295,5553,17040,30509,15488,5451,30224,10313,4304,5256
Endogenous,CRELD2,NM_024324.4,571,389,1440,822,812,3629,304,473,984,807,248,437,636,1015,906,467,442,559,688,543,698,595,345,708,297,732,532
Endogenous,CRIP2,NM_001270837.1,919,736,1340,1361,1240,3565,1773,1202,1879,1984,670,991,1522,689,785,743,1264,380,648,601,768,555,870,1755,396,707,1871
Endogenous,CRISPLD2,NM_031476.3,146,494,1438,452,2498,339,207,578,174,759,620,491,183,293,1109,622,283,123,236,862,416,514,311,168,279,168,398
Endogenous,CRTAM,NM_019604.2,116,18,59,23,34,97,15,27,6,26,47,33,81,23,21,42,24,17,48,43,33,32,54,37,50,24,39
Endogenous,CRYAB,NM_001885.1,189,4821,8832,11304,1674,14312,1019,3374,2682,12729,319,4352,77,3541,1718,276,463,554,276,2465,222,2685,257,621,206,17593,2736
Endogenous,CTGF,NM_001901.2,429,4772,5708,1079,4431,2776,3649,4575,12014,30799,8771,10053,1291,7695,7925,6430,2127,2014,614,11926,3398,2703,3312,5664,2544,4411,2837
Endogenous,CXCL11,NM_005409.4,133,276,116,312,198,158,200,216,23,58,98,141,891,452,41,273,129,234,183,123,32,36,148,215,73,242,1541
Endogenous,CXCL2,NM_002089.3,369,156,566,391,964,915,3175,506,189,333,1774,491,1503,419,1893,2175,317,162,330,524,503,851,197,533,519,169,547
Endogenous,CXCL3,NM_002090.2,37,84,198,243,154,216,292,78,91,51,190,68,829,122,1461,891,13,53,27,70,162,187,87,240,67,64,138
Endogenous,CXCL5,NM_002994.3,27,60,98,164,33,142,509,26,8,19,947,104,34,97,2743,70,6,10,37,29,34,176,38,15,17,16,30
Endogenous,CXCL6,NM_002993.3,7,61,86,88,20,78,406,17,3,6,10,18,11,9,1547,89,2,7,19,12,39,105,16,26,19,10,18
Endogenous,CXCR7,NM_020311.1,107,211,357,291,2759,293,130,145,172,265,226,168,152,131,1077,533,90,69,335,446,392,222,541,125,221,122,162
Endogenous,CYB5R2,NM_016229.3,17,100,312,225,224,301,344,129,254,52,51,260,118,143,114,85,18,314,15,129,94,73,85,152,91,178,90
Endogenous,DCLK1,NM_004734.4,249,142,221,262,672,199,64,64,256,63,89,117,85,35,53,75,20,94,103,87,522,95,129,126,43,49,374
Endogenous,DCN,NM_001920.3,1617,2861,10816,3299,47147,2817,1331,3405,814,6732,6682,5217,551,4690,16287,9667,2899,533,4946,10773,11045,8803,6447,604,5205,1027,3028
Endogenous,DDIT3,NM_004083.4,260,227,606,626,430,1748,1347,256,2157,1088,202,455,446,317,1131,257,286,340,118,310,308,360,1774,916,142,3808,633
Endogenous,DGCR5,NR_045121.1,27,59,97,90,27,210,168,9,177,61,8,4,25,31,15,23,6,36,11,28,38,11,181,32,6,354,12
Endogenous,DHRS9,NM_005771.4,71,49,68,133,98,62,29,36,10,37,84,28,20,17,19,32,28,16,114,68,30,40,117,23,56,22,43
Endogenous,DIO3,NM_001362.3,51,98,107,92,85,83,36,57,39,48,39,38,37,47,51,48,43,34,36,58,66,64,70,41,62,54,57
Endogenous,DIRAS3,NM_004675.2,16,145,157,227,136,238,16,45,19,35,18,47,25,7,28,15,21,4,8,60,96,10,24,21,19,94,110
Endogenous,DKK1,NM_012242.2,71,77,59,111,140,154,706,18,60,41,26,62,108,9,14,912,87,209,13,33,24,10,64,402,9,454,14
Endogenous,DLEU1,NR_002605.1,172,295,502,449,268,429,118,158,250,167,32,119,243,102,107,106,101,126,61,78,156,67,145,277,76,689,560
Endogenous,DNAJA1,NM_001539.2,692,299,1880,1765,615,1066,2143,578,1382,796,353,977,975,548,457,910,293,879,317,338,742,249,751,705,247,1741,2456
Endogenous,DNAJA4,NM_001130182.1,493,323,409,680,596,1723,420,295,1127,760,112,554,374,582,321,149,220,426,183,335,100,80,861,311,150,991,607
Endogenous,DNAJB1,NM_006145.2,837,445,3020,1209,2211,2087,5125,599,1042,953,490,1095,1857,673,654,624,499,732,563,675,1502,470,2215,1627,331,1965,1959
Endogenous,DNAJB4,NM_007034.3,279,274,687,507,406,971,890,210,496,459,259,466,461,256,483,403,116,275,78,269,613,320,1155,232,212,625,494
Endogenous,DPY19L1,NM_015283.1,253,338,499,496,406,581,460,224,439,451,126,287,533,208,256,382,74,197,267,404,365,331,447,236,257,731,526
Endogenous,DSCAM,NM_001389.3,12,130,146,183,40,301,13,7,83,7,5,21,8,7,10,10,5,6,2,23,24,5,10,80,4,16,5
Endogenous,DUSP5,NM_004419.3,1419,552,716,353,640,1513,291,605,157,781,754,676,636,478,1022,856,707,247,549,743,670,381,619,666,510,577,895
Endogenous,DUSP8,NM_004420.2,79,230,276,346,112,476,60,83,51,48,25,73,22,29,49,22,17,83,16,40,26,27,41,24,25,52,105
Endogenous,EDN2,NM_001956.3,31,101,215,211,256,654,217,301,165,474,31,389,136,77,416,9,210,66,22,81,25,80,122,92,17,19,196
Endogenous,EEF1A2,NM_001958.2,16,56,464,57,69,299,27,11,9,16,15,46,11,12,17,16,208,8,20,12,17,30,193,15,18,279,50
Endogenous,EFEMP1,NM_004105.3,190,484,3395,208,3181,536,1115,347,1629,2410,586,404,5112,826,49,1703,255,339,672,1033,609,495,306,1244,339,1571,478
Endogenous,EFHD1,NM_025202.3,757,509,2974,5438,1460,3637,197,491,559,691,108,1048,77,488,263,75,1938,2130,41,62,60,41,53,195,84,230,1026
Endogenous,EFS,NM_032459.1,318,265,470,1134,812,1171,532,498,2743,724,122,1387,319,641,403,210,179,306,29,312,653,174,1240,533,140,3259,806
Endogenous,EGFR,NM_201282.1,138,288,486,521,1869,1221,471,156,1575,326,165,463,1239,365,291,434,116,286,110,480,611,671,2401,651,242,1153,482
Endogenous,EGR1,NM_001964.2,453,588,2628,272,415,514,2565,600,575,1414,2202,730,869,345,213,459,273,288,437,2372,752,614,640,1882,489,1818,419
Endogenous,EIF2AK2,NM_001135652.2,560,377,1163,991,869,1695,1299,358,356,535,314,1063,703,635,861,776,259,532,224,382,437,348,751,618,293,3446,2297
Endogenous,ELF3,NM_001114309.1,388,1308,7687,7733,2205,23512,6085,1625,675,1850,3405,2198,28,1691,1790,50,1470,2268,26,346,29,24,4806,14,359,1099,7744
Endogenous,ELF5,NM_001422.2,70,791,7275,1943,153,5218,394,1040,115,425,16,594,7,906,41,9,47,2074,9,24,12,14,16,7,26,2058,323
Endogenous,ENPP1,NM_006208.1,924,274,247,341,332,135,228,194,1879,818,100,212,41,399,141,82,270,90,31,212,607,85,97,39,44,485,126
Endogenous,EPGN,NM_001013442.1,40,137,182,336,184,157,76,39,24,25,19,28,15,14,18,14,29,13,9,34,70,150,223,56,17,28,23
Endogenous,EPHA4,NM_004438.3,346,279,361,817,620,285,145,171,479,250,137,250,187,157,40,167,37,26,125,221,244,44,779,409,119,667,440
Endogenous,EPSTI1,NM_001002264.2,282,119,154,226,136,132,102,151,23,85,144,100,487,205,210,418,107,100,46,201,57,183,116,204,129,138,973
Endogenous,ERBB2,NM_001005862.1,740,762,2071,2150,1015,4246,2915,1035,675,1020,449,626,245,305,241,164,557,993,134,494,260,171,339,316,194,577,1081
Endogenous,ERBB3,NM_001005915.1,325,275,946,756,645,2444,3822,227,244,377,196,378,13,213,88,21,182,203,22,72,15,15,157,7,42,1318,680
Endogenous,ETV1,NM_004956.4,63,182,226,215,138,260,51,72,101,221,44,163,43,127,189,83,52,28,43,119,274,97,115,183,70,698,103
Endogenous,EXTL1,NM_004455.2,11,53,22,49,18,12,8,72,8,434,4,25,8,31,8,6,4,4,6,3,10,7,7,8,4,328,11
Endogenous,F2R,NM_001992.2,126,210,578,384,501,304,125,331,157,271,139,176,148,82,87,270,125,101,240,459,174,226,189,487,153,126,120
Endogenous,FAM131B,NM_001031690.2,69,92,109,188,38,251,17,24,16,25,11,20,35,10,24,27,4,14,8,53,43,22,10,104,27,36,32
Endogenous,FAM25A,NM_001146157.2,51,332,246,1640,3887,232,41,100,18,61,19,116,32,25,18,16,24,21,6,33,50,55,179,27,25,142,28
Endogenous,FAM46B,NM_052943.3,88,122,412,524,954,791,556,261,39,384,105,172,35,106,110,19,130,47,36,255,18,76,84,128,43,417,471
Endogenous,FAM49A,NM_030797.2,282,130,402,169,450,416,146,126,80,117,130,199,405,185,146,271,59,93,43,248,243,73,159,144,136,741,619
Endogenous,FAM83A.AS1,NR_024479.1,21,140,238,290,97,373,59,26,26,15,7,9,4,13,11,14,10,5,2,8,39,32,38,11,17,13,12
Endogenous,FAT1,NM_005245.3,1642,1503,5784,3921,2793,6771,4404,1125,5991,7674,807,3074,5961,2874,1915,2449,924,1023,206,2193,2832,2725,4313,6323,1538,3643,3141
Endogenous,FBN1,NM_000138.3,649,611,1690,745,7191,537,1374,1120,1084,2066,1165,1350,1253,1038,1115,2532,826,230,1019,4400,1590,1986,1388,1120,1134,717,794
Endogenous,FERMT1,NM_017671.4,12,49,167,963,538,150,730,31,168,739,59,83,532,119,50,213,56,582,53,257,132,246,865,279,129,296,535
Endogenous,FGFBP2,NM_031950.3,36,132,153,126,58,315,13,25,96,17267,10,68,22,314,42,13,61,10,20,23,36,38,202,17,10,19,17
Endogenous,FILIP1L,NM_014890.2,724,730,1335,631,1652,873,507,447,88,581,1048,1711,554,693,74,1448,462,164,255,2121,1050,919,497,153,673,415,1043
Endogenous,FKBP4,NM_002014.3,575,735,6151,1795,853,7191,8903,1011,2449,1295,377,2013,1362,2214,673,710,936,3299,617,435,946,462,2635,1291,308,3947,4607
Endogenous,FLRT2,NM_013231.4,426,289,510,275,239,239,135,163,1080,1238,274,85,377,69,220,385,67,23,186,532,613,785,374,536,311,91,126
Endogenous,FN1,NM_212482.1,2198,6028,26884,15466,19026,14104,6835,15653,6422,16399,7682,15865,15100,25650,26910,50503,10948,5259,3541,18341,19367,31586,12235,86219,24787,10148,15862
Endogenous,FOLR1,NM_000802.2,83,231,468,332,359,729,135,73,166,598,33,99,26,344,74,15,75,28,35,121,84,19,30,74,34,81,962
Endogenous,FOXM1,NM_202002.2,210,244,3170,1379,404,2557,3604,408,2082,507,57,1205,1127,2499,549,593,205,2048,210,170,661,285,1832,834,138,3251,3563
Endogenous,FOXQ1,NM_033260.3,11,137,86,193,281,157,11,130,327,66,27,161,55,87,224,20,18,8,20,104,33,89,722,13,24,122,7
Endogenous,GATM,NM_001482.2,582,278,482,401,1671,1581,80,386,88,155,354,353,241,101,116,84,193,138,119,399,257,112,551,362,323,473,167
Endogenous,GCHFR,NM_005258.2,113,114,230,228,173,448,60,155,126,153,156,108,28,103,53,69,231,87,65,183,37,43,83,23,42,280,137
Endogenous,GIPR,NM_000164.2,79,30,44,23,71,18,13,20,18,51,31,29,16,16,33,10,23,18,22,30,50,31,38,32,25,43,26
Endogenous,GLYATL2,NM_145016.3,6130,177,369,2964,1256,277,528,905,1064,105,115,263,17,85,232,26,3954,125,12,52,75,25,24,60,59,1765,1852
Endogenous,GPRC5C,NM_018653.3,198,32,82,46,293,376,245,47,253,141,140,120,161,22,27,37,319,28,24,117,461,77,210,130,71,177,43
Endogenous,GRHL3,NM_001195010.1,33,93,372,556,386,86,67,39,86,21,42,160,20,18,81,16,20,39,4,45,21,62,426,12,15,20,48
Endogenous,HAS2,NM_005328.2,136,175,244,225,454,279,219,122,670,1701,85,231,1242,251,2028,928,33,46,59,235,990,204,149,866,176,47,129
Endogenous,HBEGF,NM_001945.1,33,28,90,166,48,127,50,33,30,52,40,36,180,32,87,51,19,56,18,106,97,29,42,63,27,49,48
Endogenous,HERC6,NM_001165136.1,225,315,361,762,320,669,293,261,71,191,106,266,246,187,220,364,80,169,80,150,56,119,152,137,131,341,894
Endogenous,HMOX1,NM_002133.1,1161,489,1943,1027,1264,1364,645,1803,755,1890,2122,1740,1067,1290,3171,1201,762,682,2686,1913,622,949,604,1514,989,1831,1831
Endogenous,HR,NM_005144.4,118,170,679,433,527,568,176,63,113,182,27,133,103,247,202,22,68,71,23,357,102,92,527,171,26,105,156
Endogenous,HSP90AA1,NM_001017963.2,4743,2707,20076,22040,9538,34160,17619,8649,18280,7052,3034,28138,10064,5685,6250,7578,4991,12690,2361,3828,20292,4383,20405,11609,3221,26779,18634
Endogenous,HSP90AA4P,ENST00000378770.1,6,6,14,17,11,12,13,12,12,5,8,20,6,8,9,16,6,9,6,11,24,11,12,6,6,76,13
